"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx"
17175,-22,554213.235,6803621.3935,7,169.617492675781,179.758575439453,NA,"STN17175",40
17200,-10,554188.295,6803633.5105,7,169.585006713867,182.228744506836,NA,"STN17200",46
17225,0,554166.0655,6803649.57,7,169.403335571289,NA,NA,"STN17225",51
17250,2,554149.58,6803666.3075,7,169.555999755859,NA,NA,"STN17250",52
17275,4,554134.66,6803686.4665,7,169.619995117188,196.535003662109,NA,"STN17275",53
17300,4,554121.7275,6803705.5715,7,169.442001342773,180.52799987793,NA,"STN17300",53
17325,-1,554110.91,6803726.3295,7,169.214996337891,181.065719604492,NA,"STN17325",48
17350,13,554112.529,6803756.49,7,169.169998168945,178.654541015625,NA,"STN17350",56
17375,32,554120.159,6803779.803,7,169.365005493164,NA,NA,"STN17375",67
17400,34,554121.6925,6803784.777,7,169.365005493164,NA,NA,"STN17400",68
17425,30,554121.122,6803792.024,7,169.354995727539,NA,NA,"STN17425",66
17450,12,554121.764,6803829.244,7,169.380004882812,NA,NA,"STN17450",57
17475,6,554119.5385,6803856.317,7,169.304992675781,182.432495117188,NA,"STN17475",54
17500,4,554116.386,6803881.274,7,169.386672973633,NA,NA,"STN17500",53
17525,-14,554092.445,6803893.141,7,169.639999389648,NA,NA,"STN17525",44
17550,-14,554076.017,6803911.9855,7,169.434997558594,NA,NA,"STN17550",44
17575,-12,554061.0965,6803932.144,7,169.339996337891,NA,NA,"STN17575",43
17600,-6,554049.352,6803944.75,7,169.346664428711,NA,NA,"STN17600",44
17625,-4,554025.514,6803948.036,7,169.440002441406,NA,NA,"STN17625",46
17675,-14,553975.4645,6803938.2695,6,169.403335571289,182.990005493164,NA,"STN17675",44
17700,-18,553960.694,6803931.148,6,169.3125,186.880004882812,NA,"STN17700",42
17725,-18,553947.7115,6803921.035,6,169.660003662109,177.893325805664,NA,"STN17725",42
17750,-8,553923.628,6803908.985,6,169.238754272461,NA,NA,"STN17750",47
17775,10,553894.6265,6803899.9835,6,169.429992675781,NA,NA,"STN17775",56
17800,-2,553898.711,6803872.174,6,169.386672973633,NA,NA,"STN17800",50
17825,2,553886.633,6803851.788,6,169.160003662109,175.255004882812,NA,"STN17825",52
17850,2,553872.916,6803831.4185,6,169.422500610352,171.190002441406,NA,"STN17850",51
17875,0,553869.5465,6803807.4825,6,169.354995727539,NA,NA,"STN17875",51
